SpGnss : begin in
SpGnss : begin out
SpGnss : start in
  mode = COLD_START
SpGnss : start out
Gnss setup OK 

1980/01/06 00:01:36.000489, numSat: 2, pos not fixed 

1980/01/06 00:01:37.000504, numSat: 3, pos not fixed 

1980/01/06 00:01:38.000492, numSat: 3, pos not fixed 

1980/01/06 00:01:39.000504, numSat: 3, pos not fixed 

1980/01/06 00:01:40.000504, numSat: 3, pos not fixed 

SpGnss : begin in
SpGnss : begin out
SpGnss : start in
  mode = COLD_START
SpGnss : start out
Gnss setup OK 

1980/01/06 00:00:01.000512, numSat: 0, pos not fixed 

1980/01/06 00:00:02.000512, numSat: 3, pos not fixed 

1980/01/06 00:00:03.000492, numSat: 6, pos not fixed 

1980/01/06 00:00:04.000508, numSat: 6, pos not fixed 

1980/01/06 00:00:05.000509, numSat: 6, pos not fixed 

1980/01/06 00:00:06.000505, numSat: 6, pos not fixed 

1980/01/06 00:00:07.000490, numSat: 6, pos not fixed 

1980/01/06 00:00:08.000495, numSat: 5, pos not fixed 

1980/01/06 00:00:09.000511, numSat: 5, pos not fixed 

1980/01/06 00:00:10.000601, numSat: 5, pos not fixed 

1980/01/06 00:00:11.000632, numSat: 6, pos not fixed 

1980/01/06 00:00:12.000622, numSat: 6, pos not fixed 

1980/01/06 00:00:13.000603, numSat: 6, pos not fixed 

1980/01/06 00:00:14.000612, numSat: 6, pos not fixed 

1980/01/06 00:00:15.000602, numSat: 6, pos not fixed 

1980/01/06 00:00:16.000489, numSat: 6, pos not fixed 

1980/01/06 00:00:17.000517, numSat: 5, pos not fixed 

1980/01/06 00:00:18.000512, numSat: 5, pos not fixed 

1980/01/06 00:00:19.000511, numSat: 7, pos not fixed 

1980/01/06 00:00:20.000492, numSat: 7, pos not fixed 

1980/01/06 00:00:21.000490, numSat: 5, pos not fixed 

1980/01/06 00:00:22.000509, numSat: 5, pos not fixed 

1980/01/06 00:00:23.000512, numSat: 5, pos not fixed 

1980/01/06 00:00:24.000510, numSat: 5, pos not fixed 

1980/01/06 00:00:25.000517, numSat: 6, pos not fixed 

1980/01/06 00:00:26.000507, numSat: 6, pos not fixed 

1980/01/06 00:00:27.000510, numSat: 6, pos not fixed 

1980/01/06 00:00:28.000503, numSat: 6, pos not fixed 

1980/01/06 00:00:29.000498, numSat: 6, pos not fixed 

1980/01/06 00:00:30.000490, numSat: 6, pos not fixed 

1980/01/06 00:00:31.000517, numSat: 6, pos not fixed 

1980/01/06 00:00:32.000490, numSat: 7, pos not fixed 

1980/01/06 00:00:33.000507, numSat: 7, pos not fixed 

1980/01/06 00:00:34.000502, numSat: 6, pos not fixed 

1980/01/06 00:00:35.000508, numSat: 5, pos not fixed 

1980/01/06 00:00:36.000616, numSat: 6, pos not fixed 

1980/01/06 00:00:37.000591, numSat: 6, pos not fixed 

1980/01/06 00:00:38.000599, numSat: 6, pos not fixed 

1980/01/06 00:00:39.000564, numSat: 6, pos not fixed 

1980/01/06 00:00:40.000517, numSat: 6, pos not fixed 

1980/01/06 00:00:41.000504, numSat: 6, pos not fixed 

1980/01/06 00:00:42.000596, numSat: 7, pos not fixed 

1980/01/06 00:00:43.000603, numSat: 7, pos not fixed 

1980/01/06 00:00:44.000606, numSat: 6, pos not fixed 

1980/01/06 00:00:45.000598, numSat: 6, pos not fixed 

1980/01/06 00:00:46.000613, numSat: 7, pos not fixed 

1980/01/06 00:00:47.000551, numSat: 7, pos not fixed 

1980/01/06 00:00:48.000510, numSat: 7, pos not fixed 

1980/01/06 00:00:49.000491, numSat: 7, pos not fixed 

1980/01/06 00:00:50.000494, numSat: 6, pos not fixed 

1980/01/06 00:00:51.000514, numSat: 6, pos not fixed 

1980/01/06 00:00:52.000491, numSat: 7, pos not fixed 

1980/01/06 00:00:53.000503, numSat: 8, pos not fixed 

1980/01/06 00:00:54.000495, numSat: 8, pos not fixed 

1980/01/06 00:00:55.000512, numSat: 7, pos not fixed 

1980/01/06 00:00:56.000500, numSat: 6, pos not fixed 

numSatellites: 6
[ 0] Type:GPS, Id:12, Elv: 0, Azm:  0, Lv:36.000000 

[ 1] Type:GPS, Id:15, Elv: 0, Azm:  0, Lv:35.000000 

[ 2] Type:GPS, Id:17, Elv: 0, Azm:  0, Lv:37.000000 

[ 3] Type:GPS, Id:19, Elv: 0, Azm:  0, Lv:34.000000 

[ 4] Type:GPS, Id:24, Elv: 0, Azm:  0, Lv:33.000000 

[ 5] Type:GPS, Id:32, Elv: 0, Azm:  0, Lv:20.000000 

2018/04/12 10:59:50.000532, numSat: 6, pos not fixed 

2018/04/12 10:59:51.000546, numSat: 6, pos not fixed 

2018/04/12 10:59:52.000546, numSat: 6, pos not fixed 

2018/04/12 10:59:53.000543, numSat: 6, pos not fixed 

2018/04/12 10:59:54.000536, numSat: 7, pos not fixed 

2018/04/12 10:59:55.000545, numSat: 7, pos not fixed 

2018/04/12 10:59:56.000548, numSat: 6, pos not fixed 

2018/04/12 10:59:57.000545, numSat: 6, pos not fixed 

2018/04/12 10:59:58.000552, numSat: 7, pos not fixed 

2018/04/12 10:59:59.000541, numSat: 7, pos not fixed 

numSatellites: 7
[ 0] Type:GPS, Id:12, Elv: 0, Azm:  0, Lv:36.000000 

[ 1] Type:GPS, Id:15, Elv: 0, Azm:  0, Lv:34.000000 

[ 2] Type:GPS, Id:17, Elv: 0, Azm:  0, Lv:37.000000 

[ 3] Type:GPS, Id:19, Elv: 0, Azm:  0, Lv:34.000000 

[ 4] Type:GPS, Id:23, Elv: 0, Azm:  0, Lv:0.000000 

[ 5] Type:GPS, Id:24, Elv: 0, Azm:  0, Lv:34.000000 

[ 6] Type:GPS, Id:32, Elv: 0, Azm:  0, Lv:21.000000 

2018/04/12 11:00:00.000545, numSat: 7, pos not fixed 

2018/04/12 11:00:01.000541, numSat: 9, pos not fixed 

2018/04/12 11:00:02.000548, numSat: 8, pos not fixed 

2018/04/12 11:00:03.000535, numSat: 8, pos not fixed 

2018/04/12 11:00:04.000535, numSat: 9, pos not fixed 

2018/04/12 11:00:05.000532, numSat: 9, pos not fixed 

2018/04/12 11:00:06.000554, numSat: 8, pos not fixed 

2018/04/12 11:00:07.000540, numSat: 8, pos not fixed 

2018/04/12 11:00:08.000550, numSat: 8, pos not fixed 

2018/04/12 11:00:09.000542, numSat: 9, pos not fixed 

2018/04/12 11:00:10.000557, numSat: 9, pos not fixed 

2018/04/12 11:00:11.000539, numSat: 8, pos not fixed 

2018/04/12 11:00:12.000546, numSat: 8, pos not fixed 

